project,risk,stakeholder,idx
Universal Energy Access,Cost effectiveness of centralized and decentralized distributed generation (DDG) technologies|delivery mechanisms|and public subsidy bill for kerosene,Households|governments|technology providers|energy companies|development agencies,264
Integrated computer workstation for famine early warning|providing food security analysts with a set of computer tools to manage a very large and diverse set of data for predicting the onset of food security emergencies for every country on Earth,Famine|food security emergencies|onset of food security emergencies,Analysts|food security experts,265
safety assessment method|Bayesian network (BN|integrated method|case study,blowout preventer (BOP|safety|failure modes|accident,humans|components|control systems|constraints|relationships,266
detecting risky lane changes|integrated modeling of driver gaze and vehicle operation behavior,difficult to measure|actual driving risk levels|false positive rate,subjects|drivers|ground-truth risk level,268
Resource constrained project scheduling problem (RCPSP,Not utilizing all available resources in a particular period|leading to potential delays or missed deadlines,Arbitrary resource requirements|resource availabilities|and job deadlines,269
The context for collaboration necessitates a culturally appropriate process for knowledge generation and use|for involvement of community co-leads|and,Successful PM teams encompass a variety of skills beyond modeling expertise|including effective relationship-building|openness to learn from local experts|awareness of personal motivations and biases|and ability to translate discussions into models and to assess success,None,271
Reducing CO2 emissions from 2 Gt in 2007 to 1.55 Gt in 2050 while cement production increases by about 50,Low cost|ease of use|and relatively robustness to misuse,Cement industry|including the authors of the cement industry roadmap,272
analyzing the behavior of flood victims by developing a systematic classification of their actions at the time of the flood,coming in contact with floodwaters,victims,273
Designing a barrier status panel for oil & gas installations in Norway,Major accidents|such as the Macondowell blowout in 2010,Users of the barrier status panel|including those who need to monitor and manage the safety barriers,274
Exploring the pollution characteristics|health risks|and Spatio-temporal variations of heavy metals in rice,High pollution risks due to the presence of heavy metals such as As and Cu,Children and adults who consume rice and are therefore more susceptible to the negative effects of heavy metals,275
